time,base_joint,base_arm1_joint,arm1_elbow_joint,elbow_arm2_joint,arm2_wrist_joint,wrist_tool_joint,
1.591538245,0.883055912269,5.26767122535e-05,-6.35937447655e-06,-3.21439645606e-05,-5.26582126424e-05,-3.3041438499e-05,
1.614166202,0.874312784425,5.2155160647e-05,-6.29641037283e-06,-3.18257074857e-05,-5.21368442004e-05,-3.27142955436e-05,
1.637020438,0.865656222203,5.16387729178e-05,-6.23406967606e-06,-3.1510601471e-05,-5.16206378222e-05,-3.23903916273e-05,
1.660103217,0.857085368517,5.11274979384e-05,-6.17234621393e-06,-3.11986153178e-05,-5.11095423982e-05,-3.20696946805e-05,
1.683416823,0.84859937477,5.06212850876e-05,-6.11123387517e-06,-3.08897181364e-05,-5.0603507325e-05,-3.1752172951e-05,
1.706963566,0.840197400762,5.01200842451e-05,-6.05072660908e-06,-3.0583879343e-05,-5.01024825e-05,-3.1437795001e-05,
1.730745776,0.831878614616,4.96238457872e-05,-5.99081842483e-06,-3.02810686564e-05,-4.96064183168e-05,-3.11265297039e-05,
1.754765808,0.815568060813,4.86508764232e-05,-5.87335709751e-06,-2.96873510264e-05,-4.86337906513e-05,-3.05162352108e-05,
1.779513671,0.795481167004,4.74526379985e-05,-5.72870025526e-06,-2.89561715012e-05,-4.74359730377e-05,-2.97646408246e-05,
1.804758966,0.779807045392,4.65176335639e-05,-5.61582222847e-06,-2.83856205285e-05,-4.65012969686e-05,-2.91781598123e-05,
1.830511692,0.764441765897,4.56010524104e-05,-5.50516834474e-06,-2.78263116641e-05,-4.55850377106e-05,-2.8603234793e-05,
1.856782047,0.749379243111,4.47025315267e-05,-5.39669477967e-06,-2.72780233939e-05,-4.46868323798e-05,-2.80396380678e-05,
1.883580436,0.734613511529,4.38217150542e-05,-5.29035857237e-06,-2.67405385686e-05,-4.38063252424e-05,-2.74871464247e-05,
1.910917473,0.720138723193,4.29582541458e-05,-5.18611760844e-06,-2.62136443179e-05,-4.29431675742e-05,-2.69455410496e-05,
1.938803985,0.705949145371,4.21118068286e-05,-5.08393060331e-06,-2.56971319654e-05,-4.2097017522e-05,-2.641460744e-05,
1.967251015,0.688647309938,4.10797047908e-05,-4.95933050821e-06,-2.50673308653e-05,-4.10652779496e-05,-2.57672220102e-05,
1.996560019,0.668394294423,3.98715567497e-05,-4.81347733158e-06,-2.43301043727e-05,-3.98575541998e-05,-2.50094118225e-05,
2.026757115,0.648736917098,3.86989401638e-05,-4.67191367531e-06,-2.36145596022e-05,-3.86853494268e-05,-2.42738887204e-05,
2.057869213,0.623546870144,3.71962846279e-05,-4.4905062022e-06,-2.26976210875e-05,-3.71832216107e-05,-2.33313488703e-05,
2.090568341,0.596176091949,3.55635424798e-05,-4.29339407618e-06,-2.17013021545e-05,-3.55510528677e-05,-2.23072122648e-05,
2.124595185,0.570133735653,3.40100443491e-05,-4.10584865166e-06,-2.07533388758e-05,-3.39981003122e-05,-2.13327814253e-05,
2.160357739,0.537251275019,3.20485151946e-05,-3.86904384919e-06,-1.95563901497e-05,-3.203726003e-05,-2.01024133528e-05,
2.198700038,0.503522261577,3.00364868382e-05,-3.62614255129e-06,-1.83286262021e-05,-3.00259382808e-05,-1.8840369684e-05,
2.239401161,0.467573754953,2.78920596133e-05,-3.3672574543e-06,-1.70200708696e-05,-2.78822641604e-05,-1.74952788984e-05,
2.28391538,0.427521304923,2.55028208846e-05,-3.07881758894e-06,-1.55621286075e-05,-2.54938645119e-05,-1.5996630233e-05,
2.332599926,0.38540881301,2.29906949954e-05,-2.77554222155e-06,-1.40291991193e-05,-2.29826208598e-05,-1.44209006645e-05,
2.38745889,0.335755707813,2.00287507984e-05,-2.41796272349e-06,-1.22217850795e-05,-2.00217168724e-05,-1.25630228123e-05,
2.451785341,0.275049842139,1.64074790604e-05,-1.98078617851e-06,-1.00120414294e-05,-1.6401716894e-05,-1.02915821262e-05,
2.534279639,0.170242462299,1.0155430789e-05,-1.22601021581e-06,-6.19696623828e-06,-1.01518642885e-05,-6.36998832104e-06,
2.734161978,0.0,0.0,0.0,0.0,0.0,0.0,
