time,base_joint,base_arm1_joint,arm1_elbow_joint,elbow_arm2_joint,arm2_wrist_joint,wrist_tool_joint,
0.823244505,0.318117428455,1.89765789558e-05,-2.29093970943e-06,-1.15797371427e-05,-1.89699145435e-05,-1.19030486085e-05,
0.850581542,0.337999767734,2.01626151405e-05,-2.43412344127e-06,-1.23034707141e-05,-2.01555342024e-05,-1.26469891465e-05,
0.877379931,0.357882107012,2.13486513253e-05,-2.57730717311e-06,-1.30272042855e-05,-2.13411538614e-05,-1.33909296846e-05,
0.903650287,0.37776444629,2.253468751e-05,-2.72049090495e-06,-1.37509378569e-05,-2.25267735204e-05,-1.41348702226e-05,
0.929403012,0.397646785569,2.37207236947e-05,-2.86367463679e-06,-1.44746714283e-05,-2.37123931793e-05,-1.48788107606e-05,
0.954648307,0.417529124847,2.49067598795e-05,-3.00685836863e-06,-1.51984049998e-05,-2.48980128383e-05,-1.56227512987e-05,
0.97939617,0.437411464126,2.60927960642e-05,-3.15004210047e-06,-1.59221385712e-05,-2.60836324973e-05,-1.63666918367e-05,
1.003416202,0.457293803404,2.72788322489e-05,-3.29322583231e-06,-1.66458721426e-05,-2.72692521562e-05,-1.71106323747e-05,
1.027198412,0.477176142683,2.84648684337e-05,-3.43640956415e-06,-1.7369605714e-05,-2.84548718152e-05,-1.78545729127e-05,
1.050745155,0.497058481961,2.96509046184e-05,-3.57959329599e-06,-1.80933392854e-05,-2.96404914742e-05,-1.85985134508e-05,
1.074058761,0.51694082124,3.08369408032e-05,-3.72277702783e-06,-1.88170728568e-05,-3.08261111332e-05,-1.93424539888e-05,
1.09714154,0.536823160518,3.20229769879e-05,-3.86596075966e-06,-1.95408064283e-05,-3.20117307921e-05,-2.00863945268e-05,
1.119995776,0.556705499796,3.32090131726e-05,-4.0091444915e-06,-2.02645399997e-05,-3.31973504511e-05,-2.08303350649e-05,
1.142623733,0.576587839075,3.43950493574e-05,-4.15232822334e-06,-2.09882735711e-05,-3.43829701101e-05,-2.15742756029e-05,
1.16502765,0.596470178353,3.55810855421e-05,-4.29551195518e-06,-2.17120071425e-05,-3.5568589769e-05,-2.23182161409e-05,
1.187209747,0.616352517632,3.67671217268e-05,-4.43869568702e-06,-2.24357407139e-05,-3.6754209428e-05,-2.3062156679e-05,
1.209172219,0.63623485691,3.79531579116e-05,-4.58187941886e-06,-2.31594742853e-05,-3.7939829087e-05,-2.3806097217e-05,
1.23091724,0.656117196189,3.91391940963e-05,-4.7250631507e-06,-2.38832078568e-05,-3.91254487459e-05,-2.4550037755e-05,
1.252446965,0.675999535467,4.0325230281e-05,-4.86824688254e-06,-2.46069414282e-05,-4.03110684049e-05,-2.52939782931e-05,
1.273763524,0.695881874746,4.15112664658e-05,-5.01143061438e-06,-2.53306749996e-05,-4.14966880639e-05,-2.60379188311e-05,
1.294869027,0.715764214024,4.26973026505e-05,-5.15461434622e-06,-2.6054408571e-05,-4.26823077228e-05,-2.67818593691e-05,
1.315765566,0.735646553302,4.38833388353e-05,-5.29779807806e-06,-2.67781421424e-05,-4.38679273818e-05,-2.75257999072e-05,
1.336455208,0.755528892581,4.506937502e-05,-5.4409818099e-06,-2.75018757138e-05,-4.50535470408e-05,-2.82697404452e-05,
1.356940002,0.775411231859,4.62554112047e-05,-5.58416554174e-06,-2.82256092853e-05,-4.62391666997e-05,-2.90136809832e-05,
1.377221976,0.795293571138,4.74414473895e-05,-5.72734927358e-06,-2.89493428567e-05,-4.74247863587e-05,-2.97576215212e-05,
1.39770677,0.815175910416,4.86274835742e-05,-5.87053300542e-06,-2.96730764281e-05,-4.86104060177e-05,-3.05015620593e-05,
1.418396412,0.835058249695,4.98135197589e-05,-6.01371673726e-06,-3.03968099995e-05,-4.97960256766e-05,-3.12455025973e-05,
1.439292951,0.854940588973,5.09995559437e-05,-6.1569004691e-06,-3.11205435709e-05,-5.09816453356e-05,-3.19894431353e-05,
1.460398454,0.874822928252,5.21855921284e-05,-6.30008420094e-06,-3.18442771423e-05,-5.21672649946e-05,-3.27333836734e-05,
1.481715013,0.89470526753,5.33716283131e-05,-6.44326793277e-06,-3.25680107138e-05,-5.33528846535e-05,-3.34773242114e-05,
